file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
test_210476.json,1,0.83252,391,364,527,364,527,534,391,534
test_210476.json,4,0.787598,411,434,440,434,440,478,411,478
test_204236.json,1,0.914062,219,31,543,31,543,543,219,543
test_205367.json,1,0.868164,72,32,398,32,398,276,72,276
test_216884.json,1,0.772461,146,418,234,418,234,510,146,510
test_216884.json,1,0.70752,32,132,313,132,313,503,32,503
test_216884.json,1,0.256348,74,397,153,397,153,494,74,494
test_211009.json,1,0.841309,400,337,463,337,463,397,400,397
test_220046.json,1,0.884277,211,463,348,463,348,544,211,544
test_201443.json,2,0.927734,169,119,265,119,265,209,169,209
test_201443.json,3,0.85791,171,160,261,160,261,208,171,208
test_201443.json,3,0.255615,169,119,265,119,265,210,169,210
test_216093.json,1,0.563477,275,312,368,312,368,382,275,382
test_216093.json,4,0.399414,278,313,368,313,368,378,278,378
test_214012.json,3,0.524414,191,67,262,67,262,128,191,128
test_202528.json,1,0.845703,301,315,455,315,455,438,301,438
test_202528.json,1,0.838379,113,381,250,381,250,522,113,522
test_202528.json,1,0.793945,32,52,170,52,170,263,32,263
test_202528.json,1,0.729492,442,292,544,292,544,494,442,494
test_212677.json,4,0.812988,259,479,321,479,321,515,259,515
test_215895.json,3,0.887207,136,16,168,16,168,91,136,91
test_204378.json,1,0.856934,382,135,501,135,501,294,382,294
test_217267.json,4,0.710449,403,302,436,302,436,333,403,333
test_217267.json,1,0.626465,362,264,477,264,477,380,362,380
test_217267.json,4,0.366699,396,294,442,294,442,341,396,341
test_217267.json,4,0.303223,385,285,455,285,455,357,385,357
test_217267.json,1,0.267578,403,302,436,302,436,333,403,333
test_217267.json,1,0.243042,385,285,455,285,455,357,385,357
test_204327.json,4,0.634277,84,423,119,423,119,510,84,510
test_204327.json,4,0.524902,216,283,291,283,291,381,216,381
test_217097.json,4,0.761719,264,340,286,340,286,354,264,354
test_217097.json,4,0.314697,244,396,261,396,261,414,244,414
test_219570.json,1,0.741211,318,456,486,456,486,543,318,543
test_219570.json,1,0.4104,31,106,99,106,99,199,31,199
test_208409.json,1,0.810547,107,44,192,44,192,115,107,115
test_203631.json,4,0.858398,418,239,494,239,494,324,418,324
test_207816.json,4,0.495605,156,464,186,464,186,489,156,489
test_207816.json,4,0.366455,155,463,200,463,200,496,155,496
test_202041.json,3,0.842285,426,231,543,231,543,418,426,418
test_202041.json,3,0.698242,95,80,223,80,223,215,95,215
test_200491.json,4,0.579102,251,380,329,380,329,440,251,440
test_200491.json,4,0.509277,281,379,317,379,317,406,281,406
test_216676.json,1,0.813965,67,366,150,366,150,454,67,454
test_216676.json,1,0.455078,233,271,306,271,306,329,233,329
test_216676.json,1,0.372314,202,305,262,305,262,364,202,364
test_212482.json,1,0.662109,69,282,238,282,238,454,69,454
test_219109.json,4,0.844238,84,297,220,297,220,387,84,387
test_217243.json,4,0.761719,404,220,530,220,530,353,404,353
test_217243.json,4,0.285645,456,247,528,247,528,351,456,351
test_208824.json,1,0.873535,184,373,334,373,334,544,184,544
test_213981.json,4,0.758789,433,71,484,71,484,125,433,125
test_202369.json,3,0.790527,126,382,221,382,221,519,126,519
test_202369.json,3,0.776367,280,47,387,47,387,128,280,128
test_201628.json,1,0.845215,164,148,342,148,342,298,164,298
test_218471.json,1,0.87793,33,77,259,77,259,540,33,540
test_200127.json,1,0.711426,181,286,256,286,256,361,181,361
test_200127.json,1,0.671875,132,342,221,342,221,434,132,434
test_205328.json,1,0.771973,360,282,468,282,468,376,360,376
test_205328.json,1,0.499756,219,231,289,231,289,300,219,300
test_205328.json,1,0.261475,164,52,224,52,224,112,164,112
test_207870.json,1,0.875488,240,197,359,197,359,317,240,317
test_205824.json,1,0.651367,356,230,436,230,436,310,356,310
test_205824.json,4,0.385254,357,257,390,257,390,303,357,303
test_205824.json,1,0.241089,386,230,438,230,438,278,386,278
test_212779.json,3,0.852539,291,214,319,214,319,235,291,235
test_213994.json,2,0.735352,163,37,271,37,271,103,163,103
test_217495.json,1,0.782715,396,131,525,131,525,271,396,271
test_217495.json,1,0.751953,381,440,496,440,496,528,381,528
test_215784.json,1,0.387207,81,32,184,32,184,133,81,133
test_215784.json,1,0.386963,479,218,544,218,544,282,479,282
test_215784.json,1,0.265869,476,141,544,141,544,268,476,268
test_203551.json,4,0.639648,270,380,318,380,318,427,270,427
test_203551.json,4,0.568359,242,358,317,358,317,429,242,429
