file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
test_214924.json,1,0.874988,399,382,488,382,488,473,399,473
test_219798.json,1,0.872976,166,106,324,106,324,229,166,229
test_212604.json,2,0.889923,336,211,389,211,389,260,336,260
test_201471.json,4,0.776492,280,378,411,378,411,466,280,466
test_201471.json,1,0.84628,104,44,535,44,535,461,104,461
test_203442.json,2,0.89413,50,220,173,220,173,320,50,320
test_200651.json,1,0.859678,337,330,477,330,477,489,337,489
test_210144.json,2,0.927275,233,366,336,366,336,491,233,491
test_218162.json,3,0.321248,263,91,369,91,369,306,263,306
test_218162.json,3,0.634127,125,62,342,62,342,167,125,167
test_215758.json,3,0.858399,139,448,205,448,205,512,139,512
test_206432.json,3,0.876049,313,152,387,152,387,250,313,250
test_215213.json,1,0.830375,135,330,217,330,217,413,135,413
test_215213.json,1,0.852247,239,169,328,169,328,265,239,265
test_218932.json,4,0.269393,55,30,490,30,490,225,55,225
test_219268.json,3,0.828719,288,152,319,152,319,206,288,206
test_201224.json,3,0.881561,278,34,346,34,346,215,278,215
test_213160.json,3,0.834526,166,86,210,86,210,118,166,118
test_211038.json,4,0.770872,396,63,469,63,469,168,396,168
test_215511.json,4,0.851717,341,423,415,423,415,488,341,488
test_206134.json,4,0.856014,51,94,224,94,224,188,51,188
test_209566.json,1,0.856606,58,203,235,203,235,503,58,503
test_209566.json,4,0.880608,87,397,214,397,214,504,87,504
test_216988.json,4,0.800091,450,110,484,110,484,166,450,166
test_200155.json,1,0.549193,75,120,198,120,198,291,75,291
test_219935.json,1,0.423422,27,33,547,33,547,540,27,540
test_215495.json,1,0.729359,274,121,384,121,384,233,274,233
test_207085.json,4,0.873455,279,328,372,328,372,477,279,477
test_214020.json,3,0.888934,398,433,488,433,488,496,398,496
test_202506.json,1,0.890957,157,198,455,198,455,420,157,420
test_202506.json,2,0.949981,311,53,481,53,481,206,311,206
test_209147.json,2,0.902539,208,272,279,272,279,334,208,334
test_204644.json,2,0.909306,208,263,318,263,318,346,208,346
test_211006.json,1,0.407358,31,190,114,190,114,337,31,337
test_211006.json,1,0.718507,31,94,127,94,127,232,31,232
test_209957.json,3,0.780153,205,209,266,209,266,275,205,275
test_211583.json,2,0.76128,495,154,544,154,544,377,495,377
test_211583.json,2,0.889226,81,399,461,399,461,542,81,542
test_214935.json,1,0.84747,46,144,148,144,148,258,46,258
test_214935.json,1,0.852323,185,360,314,360,314,497,185,497
test_215173.json,4,0.405547,373,428,455,428,455,488,373,488
test_215173.json,4,0.593509,63,170,216,170,216,333,63,333
test_217197.json,1,0.815642,350,344,404,344,404,379,350,379
test_217197.json,1,0.892774,41,261,117,261,117,334,41,334
test_220447.json,2,0.669399,0,57,56,57,56,243,0,243
test_220447.json,2,0.926351,46,12,171,12,171,150,46,150
test_210616.json,1,0.269954,105,36,196,36,196,84,105,84
test_210616.json,1,0.664839,434,121,542,121,542,200,434,200
test_210616.json,4,0.799696,31,229,95,229,95,286,31,286
test_213579.json,4,0.871361,319,382,366,382,366,482,319,482
test_207049.json,4,0.8526,157,222,258,222,258,339,157,339
test_205235.json,1,0.305027,152,38,196,38,196,78,152,78
test_205235.json,2,0.91113,107,1,273,1,273,165,107,165
test_212817.json,2,0.884957,32,112,166,112,166,514,32,514
test_208416.json,4,0.706178,373,271,421,271,421,309,373,309
test_211187.json,4,0.872377,219,63,272,63,272,145,219,145
test_207732.json,2,0.845826,199,74,413,74,413,189,199,189
test_207732.json,2,0.933287,480,205,544,205,544,463,480,463
test_205080.json,4,0.893672,325,121,431,121,431,262,325,262
test_202419.json,4,0.834621,108,168,157,168,157,248,108,248
test_216642.json,2,0.837589,431,392,541,392,541,512,431,512
test_216642.json,2,0.8993,152,204,276,204,276,292,152,292
test_212238.json,2,0.894667,55,95,237,95,237,258,55,258
test_220180.json,1,0.695172,346,378,462,378,462,506,346,506
test_220180.json,4,0.844555,410,369,448,369,448,404,410,404
test_207208.json,1,0.871043,282,38,436,38,436,197,282,197
test_210343.json,1,0.898891,178,55,267,55,267,165,178,165
test_214558.json,3,0.873007,247,96,310,96,310,171,247,171
test_220744.json,1,0.622139,163,32,540,32,540,405,163,405
test_215592.json,2,0.909116,226,236,314,236,314,325,226,325
test_206650.json,4,0.880935,298,471,434,471,434,542,298,542
test_206892.json,3,0.88295,204,487,260,487,260,516,204,516
test_217114.json,1,0.851364,265,350,393,350,393,474,265,474
test_205668.json,1,0.840541,107,260,183,260,183,334,107,334
test_205668.json,1,0.880033,362,399,460,399,460,508,362,508
test_211058.json,1,0.874192,337,368,541,368,541,543,337,543
test_211058.json,1,0.913251,33,269,177,269,177,522,33,522
test_214330.json,4,0.84232,348,144,435,144,435,236,348,236
test_214330.json,4,0.84448,340,58,423,58,423,120,340,120
test_200208.json,1,0.601459,468,219,543,219,543,324,468,324
test_200208.json,4,0.624689,424,207,503,207,503,260,424,260
test_200208.json,4,0.78774,173,360,301,360,301,468,173,468
test_210324.json,2,0.894429,50,31,434,31,434,166,50,166
test_207660.json,3,0.701162,108,60,174,60,174,120,108,120
test_207660.json,2,0.909231,82,27,178,27,178,120,82,120
test_211319.json,1,0.84062,59,50,170,50,170,148,59,148
test_212672.json,4,0.844102,440,379,484,379,484,445,440,445
test_214678.json,4,0.700169,327,284,507,284,507,388,327,388
test_213568.json,1,0.423743,437,444,490,444,490,494,437,494
test_213568.json,1,0.639878,490,368,541,368,541,439,490,439
test_213568.json,1,0.799752,200,88,251,88,251,143,200,143
test_204861.json,1,0.858031,308,32,526,32,526,250,308,250
test_204861.json,1,0.870443,238,251,535,251,535,536,238,536
test_207003.json,1,0.809351,343,31,542,31,542,275,343,275
test_207003.json,1,0.876893,101,306,444,306,444,542,101,542
test_201807.json,1,0.817656,273,477,445,477,445,543,273,543
test_214158.json,2,0.925798,221,284,268,284,268,331,221,331
test_213718.json,1,0.833785,300,288,343,288,343,348,300,348
test_208983.json,4,0.87628,135,137,311,137,311,279,135,279
test_208983.json,4,0.878304,427,153,540,153,540,375,427,375
test_217920.json,1,0.873095,150,317,247,317,247,418,150,418
test_211005.json,1,0.888342,127,201,240,201,240,302,127,302
